등록일,제목,링크
2023-04-10,2023학년도 마일리지 적립(경력인정) 및 마일리지장학금 신청 일정,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19870
2022-02-11,2022학년도 면학장학금 및 공로장학금 변경사항 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=17843
2021-03-29,장학금 지급 계좌정보 등록 방법 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=16472
2020-05-28,마일리지 장학제도 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=14797
2020-03-02,장학금 수혜 확인서 발급 방법(장학금 수혜 내역 확인),https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=14292
2020-01-17,장학금 수혜 관련 성적기준 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=14069
2023-03-15,"2023학년도 1학기 동신가족사랑(1가구 2가족, 본교출신자녀)장학금 신..",https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19747
2023-03-13,2022학년도 4차 마일리지 적립 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19723
2023-02-27,[학생취업지원처] 2023학년도 1학기 교내근로 장학생(드림팩토리) 선발..,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19634
2023-02-15,[중앙도서관] 2023학년도 교내근로장학생(자치위원) 선발 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19563
2023-01-05,2023학년도 신(편)입생 교내장학금 서류 제출 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19399
2023-01-02,2022학년도 동계방학 대학자체 국가근로장학생 2차 추가모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19381
2022-12-05,2022학년도 3차 마일리지 적립 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19286
2022-12-05,2022학년도 2학기 마일리지 장학금 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19285
2022-10-21,2022학년도 2차 마일리지 적립 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=19073
2022-09-05,"2022학년도 2학기 동신가족사랑장학금(1가구2가족, 본교출신자녀) 신청..",https://www.dsu.ac.kr/kr/index.php?pCode=notischlr&mode=view&idx=18850
