시작일,종료일,제목,링크
2023-05-11,2023-05-11,2023-1 학습법 특강(스스로배움터),https://up.dsu.ac.kr/ko/program/all/view/11334
2023-04-26,2023-05-19,2023 - 1 우수사례 공모전 (좋은수업 에세이 공모전),https://up.dsu.ac.kr/ko/program/all/view/11330
2023-05-08,2023-12-29,2023 (비교과)캡스톤디자인,https://up.dsu.ac.kr/ko/program/all/view/11328
2023-05-11,2023-11-10,2023 수업 PLUS 연구회,https://up.dsu.ac.kr/ko/program/all/view/11326
2023-05-12,2023-05-25,2023학년도 대학일자리플러스센터 AI 면접 역량 강화 취업캠프,https://up.dsu.ac.kr/ko/program/all/view/11324
2023-04-17,2023-12-01,2023 Learning-Up 기초영어,https://up.dsu.ac.kr/ko/program/all/view/11322
2023-05-16,2023-05-31,2023 숲과 함께하는 마음건강 프로그램,https://up.dsu.ac.kr/ko/program/all/view/11321
2023-04-17,2023-12-22,2023학년도 온라인 자살예방생명지킴이교육,https://up.dsu.ac.kr/ko/program/all/view/11319
2023-05-01,2023-10-31,2023 콜로키움 모집 공고,https://up.dsu.ac.kr/ko/program/all/view/11317
2023-04-18,2023-12-22,2023학년도 온라인 도박중독예방교육,https://up.dsu.ac.kr/ko/program/all/view/11316
2023-04-21,2023-04-28,2023 간호학과 취업캠프,https://up.dsu.ac.kr/ko/program/all/view/11315
2023-05-08,2023-05-31,2023 컴퓨터활용능력 2급 자격과정,https://up.dsu.ac.kr/ko/program/all/view/11313
2023-04-26,2023-05-31,2023학년도 감사카드 쓰기 프로그램,https://up.dsu.ac.kr/ko/program/all/view/11312
2023-04-06,2023-04-28,2023 생활스포츠지도사 2급 자격과정,https://up.dsu.ac.kr/ko/program/all/view/11309
2023-04-26,2023-05-03,"2023학년도 심리특강 1탄 ""행복한 대학생활적응의 대인관계""(신입생네비게이터 연계)",https://up.dsu.ac.kr/ko/program/all/view/11306
2023-04-04,2023-04-04,2023 디지털 라이브러리 박람회,https://up.dsu.ac.kr/ko/program/all/view/11305
2023-04-10,2023-12-22,2023학년도 온라인 스마트폰 인터넷 과의존예방교육,https://up.dsu.ac.kr/ko/program/all/view/11303
2023-04-27,2023-05-19,2023 기업체 실무인재 양성과정 1기,https://up.dsu.ac.kr/ko/program/all/view/11283
2023-04-03,2023-07-16,2023년 K-MOOC 모니터링단 모집,https://up.dsu.ac.kr/ko/program/all/view/11282
2023-03-29,2023-03-29,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-03-29,2023-03-29,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-03,2023-04-03,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-05,2023-04-05,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-06,2023-04-06,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-10,2023-04-10,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-11,2023-04-11,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-11,2023-04-11,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-14,2023-04-14,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-26,2023-04-26,2023 학과별 직무특화 특강(졸업생 멘토링),https://up.dsu.ac.kr/ko/program/all/view/11281
2023-04-07,2023-05-31,2023-1 포켓마스터 9기,https://up.dsu.ac.kr/ko/program/all/view/11272
2023-03-31,2023-03-31,"2023학년도 교원교육 1차 ""MindFit 적응역량검사 결과 활용 학생지도 방안""",https://up.dsu.ac.kr/ko/program/all/view/11271
2023-04-15,2023-04-15,2023 간호학과 KALS-Provider 자격과정,https://up.dsu.ac.kr/ko/program/all/view/11270
2023-04-15,2023-04-15,2023 간호학과 KALS-Provider 자격과정,https://up.dsu.ac.kr/ko/program/all/view/11270
2022-03-01,2022-12-31,2022 산업체 전문가 특강,https://up.dsu.ac.kr/ko/program/all/view/11266
2022-03-01,2022-12-31,2022 산업체 전문가 특강,https://up.dsu.ac.kr/ko/program/all/view/11266
2022-03-01,2022-12-31,2022 산업체 전문가 특강,https://up.dsu.ac.kr/ko/program/all/view/11266
2022-03-01,2022-12-31,2022 산업체 전문가 특강,https://up.dsu.ac.kr/ko/program/all/view/11266
2022-03-01,2022-12-31,2022 산학문화커뮤니티,https://up.dsu.ac.kr/ko/program/all/view/11265
2022-03-01,2022-12-31,2022 산학문화커뮤니티,https://up.dsu.ac.kr/ko/program/all/view/11265
2022-03-01,2022-12-31,2022 산학문화커뮤니티,https://up.dsu.ac.kr/ko/program/all/view/11265
